Region Name,Region Type,Type,zillow_Current,zillow_Month Over Month,zillow_Quarter Over Quarter,zillow_Year Over Year,5 Year Annualized,10 Year Annualized,Current,Month Over Month,Quarter Over Quarter,Year Over Year
Maplewood Estates,neighborhood,All Homes,"$723,600",0.7%,2.1%,2.0%,7.0%,5.7%,$268,0.8%,1.9%,1.9%
Maplewood Glen,neighborhood,All Homes,"$394,800",1.5%,3.4%,7.9%,10.1%,4.9%,$428,1.4%,3.4%,7.8%
Marina District,neighborhood,All Homes,"$342,900",0.6%,1.8%,1.7%,8.6%,4.0%,$322,0.3%,1.6%,1.6%
Marine Hills,neighborhood,All Homes,"$584,800",0.9%,3.4%,9.5%,7.0%,3.8%,$221,0.9%,3.3%,9.4%
Market-Downtown,neighborhood,All Homes,"$2,119,500",0.7%,2.1%,4.4%,8.8%,7.2%,$819,0.7%,2.1%,4.3%
Matthews Beach,neighborhood,All Homes,"$865,200",0.8%,2.1%,3.2%,8.5%,6.4%,$415,0.7%,2.0%,3.0%
Maureen Highlands,neighborhood,All Homes,"$754,400",0.9%,2.8%,3.6%,7.9%,5.3%,$297,0.7%,2.8%,3.5%
May Creek,neighborhood,All Homes,"$737,400",0.8%,2.2%,5.4%,8.4%,5.3%,$280,0.7%,2.2%,5.3%
Meadowbrook,neighborhood,All Homes,"$757,500",0.4%,1.1%,0.9%,9.2%,6.7%,$456,0.4%,1.1%,0.9%
Meadowbrook/Tollgate,neighborhood,All Homes,"$592,300",0.7%,2.6%,6.4%,8.4%,4.6%,$392,0.8%,2.6%,6.2%
Meridian Park,neighborhood,All Homes,"$622,300",0.8%,2.5%,3.5%,10.7%,7.0%,$363,0.6%,2.3%,3.4%
Meydenbauer,neighborhood,All Homes,"$1,748,200",1.2%,3.5%,5.5%,9.6%,7.2%,$775,1.2%,3.5%,5.4%
Middle Fork,neighborhood,All Homes,"$851,000",0.2%,1.5%,4.3%,8.3%,5.0%,$295,0.0%,1.4%,4.2%
Mill Creek,neighborhood,All Homes,"$393,000",1.1%,3.4%,8.3%,9.4%,5.5%,$278,1.1%,3.7%,8.6%
Minor,neighborhood,All Homes,"$795,700",0.7%,2.3%,2.9%,9.4%,7.3%,"$1,603",0.8%,2.3%,3.0%
Mirror Lake,neighborhood,All Homes,"$367,700",1.2%,3.7%,10.3%,10.2%,5.5%,$280,1.1%,3.7%,10.2%
Mirrormont,neighborhood,All Homes,"$763,300",1.1%,3.1%,5.5%,6.7%,4.6%,$301,1.0%,3.1%,5.2%
Monohan,neighborhood,All Homes,"$1,153,100",0.4%,1.4%,2.8%,7.4%,6.4%,$426,0.5%,1.4%,2.7%
Monterrey Terrace,neighborhood,All Homes,"$710,000",0.1%,1.2%,12.1%,10.2%,7.1%,$321,0.3%,1.3%,12.2%
Montlake,neighborhood,All Homes,"$1,269,400",0.8%,2.9%,5.0%,7.3%,6.0%,$575,0.7%,2.9%,4.9%
Montreux,neighborhood,All Homes,"$1,425,400",-0.9%,-3.0%,-5.5%,5.9%,4.7%,$408,-1.0%,-3.1%,-5.6%
Moorlands,neighborhood,All Homes,"$726,300",0.6%,1.9%,1.6%,8.5%,6.3%,$894,0.6%,1.9%,1.6%
Moss Bay,neighborhood,All Homes,"$869,200",0.8%,2.2%,3.2%,9.2%,6.3%,$649,0.6%,2.0%,3.2%
Mount View,neighborhood,All Homes,"$486,400",1.3%,4.7%,9.9%,12.1%,6.2%,$306,1.3%,4.4%,9.7%
Mt. Baker,neighborhood,All Homes,"$908,700",0.4%,1.4%,2.5%,8.1%,5.8%,$465,0.4%,1.3%,2.4%
Newport Hills,neighborhood,All Homes,"$859,900",1.5%,4.0%,3.8%,9.4%,7.1%,$422,1.4%,3.9%,3.7%
Newport Shores,neighborhood,All Homes,"$1,028,400",0.9%,2.3%,4.2%,8.8%,6.8%,$511,0.8%,2.2%,4.1%
Nichols Place,neighborhood,All Homes,"$639,500",0.7%,2.3%,3.7%,6.4%,4.9%,$272,0.7%,2.3%,3.8%
Norkirk,neighborhood,All Homes,"$1,382,400",0.4%,1.1%,3.7%,9.5%,7.3%,$723,0.4%,1.1%,3.7%
North Beach,neighborhood,All Homes,"$1,082,000",0.2%,1.1%,3.3%,7.7%,5.5%,$451,0.2%,1.1%,3.2%
North Beacon Hill,neighborhood,All Homes,"$709,700",0.3%,1.8%,2.2%,9.9%,7.1%,$480,0.4%,1.9%,2.1%
North Central,neighborhood,All Homes,"$433,600",1.5%,4.1%,9.8%,10.4%,5.5%,$279,1.5%,3.7%,9.4%
North City,neighborhood,All Homes,"$587,100",1.0%,3.1%,4.2%,10.4%,6.4%,$414,1.0%,3.0%,4.0%
North College Park,neighborhood,All Homes,"$645,000",0.6%,2.2%,-1.2%,9.1%,6.5%,"$1,499",0.7%,2.3%,-1.1%
North Creek,neighborhood,All Homes,"$658,500",1.0%,3.1%,4.1%,8.8%,5.9%,$361,1.1%,3.1%,4.0%
North Delridge,neighborhood,All Homes,"$603,200",0.6%,2.5%,3.2%,10.4%,6.4%,$455,0.7%,2.5%,3.2%
North Hill,neighborhood,All Homes,"$465,200",1.3%,3.2%,6.7%,9.9%,5.4%,$281,1.1%,3.3%,6.4%
North Juanita,neighborhood,All Homes,"$660,300",1.1%,3.3%,4.2%,10.2%,7.1%,$481,1.3%,3.2%,4.3%
North Queen Anne,neighborhood,All Homes,"$1,002,700",0.4%,1.2%,-0.6%,8.0%,6.3%,$617,0.3%,1.1%,-0.6%
North Redmond,neighborhood,All Homes,"$1,251,200",1.2%,4.0%,6.0%,8.7%,6.6%,$396,1.3%,3.9%,5.9%
North Renton,neighborhood,All Homes,"$415,800",1.2%,3.5%,7.6%,10.4%,6.3%,$345,1.2%,3.3%,7.5%
North Rose Hill,neighborhood,All Homes,"$819,100",1.4%,4.3%,6.3%,10.3%,7.2%,$520,1.4%,4.4%,6.3%
Northgate,neighborhood,All Homes,"$469,300",0.7%,1.6%,-0.6%,10.3%,6.3%,$452,0.7%,1.6%,-0.7%
Northwest Bellevue,neighborhood,All Homes,"$1,833,400",0.7%,2.0%,4.2%,10.0%,7.5%,$852,0.7%,2.0%,4.3%
Old Burien,neighborhood,All Homes,"$538,500",1.2%,3.2%,6.1%,10.2%,5.5%,$331,1.2%,3.1%,6.1%
Olympic Hills,neighborhood,All Homes,"$618,900",0.8%,2.5%,1.7%,9.1%,6.1%,$441,0.7%,2.3%,1.6%
One Union Place,neighborhood,All Homes,"$775,600",1.5%,4.1%,6.5%,7.6%,5.4%,$270,1.5%,3.8%,6.3%
Opstad,neighborhood,All Homes,"$572,100",0.7%,1.9%,5.2%,8.4%,5.2%,$354,0.6%,2.0%,5.0%
Orchards,neighborhood,All Homes,"$584,000",1.1%,3.6%,6.9%,7.7%,5.7%,$314,1.0%,3.6%,6.8%
Overlake,neighborhood,All Homes,"$802,500",0.6%,1.0%,1.2%,9.8%,7.3%,$519,0.6%,1.0%,1.2%
Overlake,neighborhood,All Homes,"$929,500",0.9%,2.1%,2.8%,8.7%,6.6%,$432,0.9%,2.1%,2.9%
Pacific Ridge,neighborhood,All Homes,"$218,600",1.2%,3.7%,9.0%,10.2%,5.9%,$203,1.0%,3.6%,8.6%
